RNAP,x,t
0,0.0,2200.48
1953,0.0232558139535,2200.48
3906,0.0,2200.48
837,0.0,2200.48
2790,0.0,2200.48
4743,0.0,2200.48
1674,0.0,2200.48
3627,0.255813953488,2200.48
5580,0.0,2200.48
558,0.0232558139535,2200.48
2511,0.0232558139535,2200.48
4464,0.0,2200.48
1395,0.0,2200.48
3348,0.0,2200.48
5301,0.0232558139535,2200.48
279,0.488372093023,2200.48
2232,0.0232558139535,2200.48
4185,0.116279069767,2200.48
1116,0.0,2200.48
3069,0.0232558139535,2200.48
5022,0.0,2200.48
0,0.0,2301.04
1953,0.0,2301.04
3906,0.047619047619,2301.04
837,0.0,2301.04
2790,0.0238095238095,2301.04
4743,0.0238095238095,2301.04
1674,0.0,2301.04
3627,0.214285714286,2301.04
5580,0.0,2301.04
558,0.0,2301.04
2511,0.0,2301.04
4464,0.0,2301.04
1395,0.0,2301.04
3348,0.0238095238095,2301.04
5301,0.0,2301.04
279,0.5,2301.04
2232,0.0238095238095,2301.04
4185,0.0952380952381,2301.04
1116,0.0238095238095,2301.04
3069,0.0238095238095,2301.04
5022,0.0,2301.04
0,0.0,2400.21
1953,0.0,2400.21
3906,0.0714285714286,2400.21
837,0.0,2400.21
2790,0.0238095238095,2400.21
4743,0.0,2400.21
1674,0.0238095238095,2400.21
3627,0.190476190476,2400.21
5580,0.0,2400.21
558,0.0238095238095,2400.21
2511,0.0,2400.21
4464,0.0,2400.21
1395,0.0,2400.21
3348,0.0238095238095,2400.21
5301,0.0238095238095,2400.21
279,0.47619047619,2400.21
2232,0.0,2400.21
4185,0.119047619048,2400.21
1116,0.0,2400.21
3069,0.0,2400.21
5022,0.0238095238095,2400.21
0,0.0,2500.74
1953,0.0,2500.74
3906,0.0487804878049,2500.74
837,0.0243902439024,2500.74
2790,0.0,2500.74
4743,0.0243902439024,2500.74
1674,0.0,2500.74
3627,0.19512195122,2500.74
5580,0.0243902439024,2500.74
558,0.0243902439024,2500.74
2511,0.0,2500.74
4464,0.0,2500.74
1395,0.0243902439024,2500.74
3348,0.0,2500.74
5301,0.0,2500.74
279,0.439024390244,2500.74
2232,0.0243902439024,2500.74
4185,0.170731707317,2500.74
1116,0.0,2500.74
3069,0.0,2500.74
5022,0.0,2500.74
0,0.0,2600.0
1953,0.025,2600.0
3906,0.1,2600.0
837,0.0,2600.0
2790,0.025,2600.0
4743,0.0,2600.0
1674,0.0,2600.0
3627,0.125,2600.0
5580,0.0,2600.0
558,0.0,2600.0
2511,0.0,2600.0
4464,0.0,2600.0
1395,0.0,2600.0
3348,0.0,2600.0
5301,0.025,2600.0
279,0.45,2600.0
2232,0.0,2600.0
4185,0.2,2600.0
1116,0.05,2600.0
3069,0.0,2600.0
5022,0.0,2600.0
0,0.0,2700.3
1953,0.0,2700.3
3906,0.128205128205,2700.3
837,0.0,2700.3
2790,0.0,2700.3
4743,0.025641025641,2700.3
1674,0.025641025641,2700.3
3627,0.102564102564,2700.3
5580,0.0,2700.3
558,0.0,2700.3
2511,0.025641025641,2700.3
4464,0.025641025641,2700.3
1395,0.0,2700.3
3348,0.025641025641,2700.3
5301,0.0,2700.3
279,0.461538461538,2700.3
2232,0.0,2700.3
4185,0.153846153846,2700.3
1116,0.025641025641,2700.3
3069,0.0,2700.3
5022,0.0,2700.3
0,0.0,2801.89
1953,0.0,2801.89
3906,0.128205128205,2801.89
837,0.025641025641,2801.89
2790,0.0,2801.89
4743,0.025641025641,2801.89
1674,0.025641025641,2801.89
3627,0.128205128205,2801.89
5580,0.0,2801.89
558,0.0,2801.89
2511,0.0,2801.89
4464,0.0512820512821,2801.89
1395,0.0,2801.89
3348,0.025641025641,2801.89
5301,0.0,2801.89
279,0.435897435897,2801.89
2232,0.025641025641,2801.89
4185,0.102564102564,2801.89
1116,0.0,2801.89
3069,0.0,2801.89
5022,0.025641025641,2801.89
0,0.0,2901.65
1953,0.0,2901.65
3906,0.131578947368,2901.65
837,0.0,2901.65
2790,0.0263157894737,2901.65
4743,0.0263157894737,2901.65
1674,0.0,2901.65
3627,0.105263157895,2901.65
5580,0.0263157894737,2901.65
558,0.0263157894737,2901.65
2511,0.0263157894737,2901.65
4464,0.0,2901.65
1395,0.0263157894737,2901.65
3348,0.0,2901.65
5301,0.0263157894737,2901.65
279,0.421052631579,2901.65
2232,0.0,2901.65
4185,0.131578947368,2901.65
1116,0.0,2901.65
3069,0.0,2901.65
5022,0.0263157894737,2901.65
0,0.0,3000.39
1953,0.0,3000.39
3906,0.114285714286,3000.39
837,0.0,3000.39
2790,0.0,3000.39
4743,0.0,3000.39
1674,0.0,3000.39
3627,0.142857142857,3000.39
5580,0.0285714285714,3000.39
558,0.0,3000.39
2511,0.0,3000.39
4464,0.0,3000.39
1395,0.0285714285714,3000.39
3348,0.0285714285714,3000.39
5301,0.0,3000.39
279,0.428571428571,3000.39
2232,0.0285714285714,3000.39
4185,0.142857142857,3000.39
1116,0.0285714285714,3000.39
3069,0.0,3000.39
5022,0.0285714285714,3000.39
0,0.0,3100.35
1953,0.0,3100.35
3906,0.147058823529,3100.35
837,0.0294117647059,3100.35
2790,0.0,3100.35
4743,0.0294117647059,3100.35
1674,0.0294117647059,3100.35
3627,0.117647058824,3100.35
5580,0.0294117647059,3100.35
558,0.0,3100.35
2511,0.0,3100.35
4464,0.0,3100.35
1395,0.0,3100.35
3348,0.0,3100.35
5301,0.0,3100.35
279,0.411764705882,3100.35
2232,0.0294117647059,3100.35
4185,0.147058823529,3100.35
1116,0.0,3100.35
3069,0.0294117647059,3100.35
5022,0.0,3100.35
0,0.0,3200.81
1953,0.0,3200.81
3906,0.212121212121,3200.81
837,0.0,3200.81
2790,0.030303030303,3200.81
4743,0.0,3200.81
1674,0.030303030303,3200.81
3627,0.0909090909091,3200.81
5580,0.030303030303,3200.81
558,0.0,3200.81
2511,0.030303030303,3200.81
4464,0.030303030303,3200.81
1395,0.0,3200.81
3348,0.0,3200.81
5301,0.0,3200.81
279,0.424242424242,3200.81
2232,0.0,3200.81
4185,0.0909090909091,3200.81
1116,0.0,3200.81
3069,0.0,3200.81
5022,0.030303030303,3200.81
0,0.0,3300.71
1953,0.0,3300.71
3906,0.0454545454545,3300.71
837,0.0,3300.71
2790,0.0227272727273,3300.71
4743,0.0454545454545,3300.71
1674,0.0,3300.71
3627,0.0681818181818,3300.71
5580,0.0,3300.71
558,0.0,3300.71
2511,0.0,3300.71
4464,0.0681818181818,3300.71
1395,0.0,3300.71
3348,0.0227272727273,3300.71
5301,0.0227272727273,3300.71
279,0.590909090909,3300.71
2232,0.0227272727273,3300.71
4185,0.0681818181818,3300.71
1116,0.0,3300.71
3069,0.0,3300.71
5022,0.0227272727273,3300.71
0,0.0,3400.53
1953,0.0,3400.53
3906,0.0681818181818,3400.53
837,0.0454545454545,3400.53
2790,0.0,3400.53
4743,0.0454545454545,3400.53
1674,0.0,3400.53
3627,0.0681818181818,3400.53
5580,0.0,3400.53
558,0.0227272727273,3400.53
2511,0.0227272727273,3400.53
4464,0.0454545454545,3400.53
1395,0.0,3400.53
3348,0.0227272727273,3400.53
5301,0.0681818181818,3400.53
279,0.545454545455,3400.53
2232,0.0,3400.53
4185,0.0227272727273,3400.53
1116,0.0,3400.53
3069,0.0,3400.53
5022,0.0227272727273,3400.53
0,0.0,3500.36
1953,0.0,3500.36
3906,0.0952380952381,3500.36
837,0.0238095238095,3500.36
2790,0.0,3500.36
4743,0.0,3500.36
1674,0.0,3500.36
3627,0.0714285714286,3500.36
5580,0.0,3500.36
558,0.0,3500.36
2511,0.0,3500.36
4464,0.047619047619,3500.36
1395,0.0238095238095,3500.36
3348,0.0,3500.36
5301,0.0952380952381,3500.36
279,0.571428571429,3500.36
2232,0.0,3500.36
4185,0.0,3500.36
1116,0.0238095238095,3500.36
3069,0.0238095238095,3500.36
5022,0.0238095238095,3500.36
0,0.0,3600.0
1953,0.0,3600.0
3906,0.1,3600.0
837,0.0,3600.0
2790,0.0,3600.0
4743,0.0,3600.0
1674,0.02,3600.0
3627,0.04,3600.0
5580,0.0,3600.0
558,0.0,3600.0
2511,0.0,3600.0
4464,0.04,3600.0
1395,0.04,3600.0
3348,0.02,3600.0
5301,0.08,3600.0
279,0.66,3600.0
2232,0.0,3600.0
4185,0.0,3600.0
1116,0.0,3600.0
3069,0.0,3600.0
5022,0.0,3600.0
0,0.0,3700.26
1953,0.0185185185185,3700.26
3906,0.148148148148,3700.26
837,0.0,3700.26
2790,0.0,3700.26
4743,0.0,3700.26
1674,0.0185185185185,3700.26
3627,0.0,3700.26
5580,0.0,3700.26
558,0.0185185185185,3700.26
2511,0.0,3700.26
4464,0.037037037037,3700.26
1395,0.0,3700.26
3348,0.0,3700.26
5301,0.0740740740741,3700.26
279,0.666666666667,3700.26
2232,0.0185185185185,3700.26
4185,0.0,3700.26
1116,0.0,3700.26
3069,0.0,3700.26
5022,0.0,3700.26
0,0.0,3800.14
1953,0.0,3800.14
3906,0.12962962963,3800.14
837,0.0185185185185,3800.14
2790,0.0,3800.14
4743,0.0185185185185,3800.14
1674,0.0,3800.14
3627,0.0,3800.14
5580,0.0,3800.14
558,0.0,3800.14
2511,0.0185185185185,3800.14
4464,0.0,3800.14
1395,0.0,3800.14
3348,0.0,3800.14
5301,0.0740740740741,3800.14
279,0.666666666667,3800.14
2232,0.037037037037,3800.14
4185,0.0185185185185,3800.14
1116,0.0,3800.14
3069,0.0,3800.14
5022,0.0185185185185,3800.14
0,0.0,3901.59
1953,0.0,3901.59
3906,0.12962962963,3901.59
837,0.0185185185185,3901.59
2790,0.0,3901.59
4743,0.0185185185185,3901.59
1674,0.0,3901.59
3627,0.0,3901.59
5580,0.0,3901.59
558,0.0185185185185,3901.59
2511,0.037037037037,3901.59
4464,0.0,3901.59
1395,0.0185185185185,3901.59
3348,0.0,3901.59
5301,0.0925925925926,3901.59
279,0.62962962963,3901.59
2232,0.0,3901.59
4185,0.0,3901.59
1116,0.0,3901.59
3069,0.0185185185185,3901.59
5022,0.0185185185185,3901.59
0,0.0,4000.0
1953,0.0,4000.0
3906,0.111111111111,4000.0
837,0.0185185185185,4000.0
2790,0.0185185185185,4000.0
4743,0.0,4000.0
1674,0.0185185185185,4000.0
3627,0.0185185185185,4000.0
5580,0.0,4000.0
558,0.0,4000.0
2511,0.0,4000.0
4464,0.0185185185185,4000.0
1395,0.0185185185185,4000.0
3348,0.0,4000.0
5301,0.0925925925926,4000.0
279,0.648148148148,4000.0
2232,0.0,4000.0
4185,0.0,4000.0
1116,0.0,4000.0
3069,0.0185185185185,4000.0
5022,0.0185185185185,4000.0
0,0.0,4100.42
1953,0.0,4100.42
3906,0.132075471698,4100.42
837,0.0,4100.42
2790,0.0,4100.42
4743,0.0188679245283,4100.42
1674,0.0188679245283,4100.42
3627,0.0,4100.42
5580,0.0188679245283,4100.42
558,0.0188679245283,4100.42
2511,0.0,4100.42
4464,0.0,4100.42
1395,0.0188679245283,4100.42
3348,0.0377358490566,4100.42
5301,0.0754716981132,4100.42
279,0.641509433962,4100.42
2232,0.0188679245283,4100.42
4185,0.0,4100.42
1116,0.0,4100.42
3069,0.0,4100.42
5022,0.0,4100.42
0,0.0,4200.48
1953,0.0196078431373,4200.48
3906,0.117647058824,4200.48
837,0.0196078431373,4200.48
2790,0.0196078431373,4200.48
4743,0.0,4200.48
1674,0.0,4200.48
3627,0.0,4200.48
5580,0.0,4200.48
558,0.0196078431373,4200.48
2511,0.0,4200.48
4464,0.0392156862745,4200.48
1395,0.0,4200.48
3348,0.0,4200.48
5301,0.078431372549,4200.48
279,0.647058823529,4200.48
2232,0.0196078431373,4200.48
4185,0.0196078431373,4200.48
1116,0.0,4200.48
3069,0.0,4200.48
5022,0.0,4200.48
0,0.0,4300.5
1953,0.0,4300.5
3906,0.115384615385,4300.5
837,0.0192307692308,4300.5
2790,0.0,4300.5
4743,0.0576923076923,4300.5
1674,0.0,4300.5
3627,0.0,4300.5
5580,0.0,4300.5
558,0.0,4300.5
2511,0.0384615384615,4300.5
4464,0.0,4300.5
1395,0.0192307692308,4300.5
3348,0.0,4300.5
5301,0.0576923076923,4300.5
279,0.673076923077,4300.5
2232,0.0,4300.5
4185,0.0,4300.5
1116,0.0,4300.5
3069,0.0192307692308,4300.5
5022,0.0,4300.5
0,0.0,4402.23
1953,0.0,4402.23
3906,0.115384615385,4402.23
837,0.0192307692308,4402.23
2790,0.0192307692308,4402.23
4743,0.0,4402.23
1674,0.0192307692308,4402.23
3627,0.0192307692308,4402.23
5580,0.0192307692308,4402.23
558,0.0,4402.23
2511,0.0,4402.23
4464,0.0,4402.23
1395,0.0192307692308,4402.23
3348,0.0,4402.23
5301,0.0769230769231,4402.23
279,0.653846153846,4402.23
2232,0.0,4402.23
4185,0.0,4402.23
1116,0.0,4402.23
3069,0.0192307692308,4402.23
5022,0.0192307692308,4402.23
0,0.0,4501.67
1953,0.0392156862745,4501.67
3906,0.137254901961,4501.67
837,0.0,4501.67
2790,0.0,4501.67
4743,0.0,4501.67
1674,0.0,4501.67
3627,0.0196078431373,4501.67
5580,0.0,4501.67
558,0.0,4501.67
2511,0.0,4501.67
4464,0.0,4501.67
1395,0.0,4501.67
3348,0.0,4501.67
5301,0.0980392156863,4501.67
279,0.666666666667,4501.67
2232,0.0,4501.67
4185,0.0,4501.67
1116,0.0196078431373,4501.67
3069,0.0196078431373,4501.67
5022,0.0,4501.67
0,0.0,4600.2
1953,0.0,4600.2
3906,0.156862745098,4600.2
837,0.0,4600.2
2790,0.0,4600.2
4743,0.0,4600.2
1674,0.0196078431373,4600.2
3627,0.0,4600.2
5580,0.0196078431373,4600.2
558,0.0196078431373,4600.2
2511,0.0392156862745,4600.2
4464,0.0,4600.2
1395,0.0,4600.2
3348,0.0196078431373,4600.2
5301,0.078431372549,4600.2
279,0.647058823529,4600.2
2232,0.0,4600.2
4185,0.0,4600.2
1116,0.0,4600.2
3069,0.0,4600.2
5022,0.0,4600.2
0,0.0,4700.21
1953,0.0,4700.21
3906,0.18,4700.21
837,0.0,4700.21
2790,0.04,4700.21
4743,0.0,4700.21
1674,0.0,4700.21
3627,0.0,4700.21
5580,0.02,4700.21
558,0.0,4700.21
2511,0.0,4700.21
4464,0.0,4700.21
1395,0.0,4700.21
3348,0.0,4700.21
5301,0.06,4700.21
279,0.66,4700.21
2232,0.02,4700.21
4185,0.0,4700.21
1116,0.02,4700.21
3069,0.0,4700.21
5022,0.0,4700.21
0,0.0,4800.17
1953,0.0,4800.17
3906,0.18,4800.17
837,0.0,4800.17
2790,0.0,4800.17
4743,0.0,4800.17
1674,0.0,4800.17
3627,0.04,4800.17
5580,0.0,4800.17
558,0.0,4800.17
2511,0.02,4800.17
4464,0.0,4800.17
1395,0.02,4800.17
3348,0.0,4800.17
5301,0.06,4800.17
279,0.68,4800.17
2232,0.0,4800.17
4185,0.0,4800.17
1116,0.0,4800.17
3069,0.0,4800.17
5022,0.0,4800.17
0,0.0,4901.1
1953,0.02,4901.1
3906,0.18,4901.1
837,0.0,4901.1
2790,0.0,4901.1
4743,0.0,4901.1
1674,0.0,4901.1
3627,0.0,4901.1
